"","Date received","Product","Sub-product","Issue","Sub-issue","Consumer complaint narrative","Company public response","Company","State","ZIP code","Tags","Consumer consent provided?","Submitted via","Date sent to company","Company response to consumer","Timely response?","Consumer disputed?","Complaint ID"
"3511",2013-09-19,"Bank account or service","Checking account","Using a debit or ATM card","Other","Other","Other","JPMorgan Chase & Co.","FL","32424","Other","Other","Referral",2013-09-20,"Closed with explanation","Yes","No",534356
"3512",2013-09-02,"Mortgage","Conventional fixed mortgage","Application, originator, mortgage broker","Other","Other","Other","Bank of America","CA","91359","Other","Other","Web",2013-09-03,"Closed with explanation","Yes","No",512633
"3513",2013-09-02,"Mortgage","Conventional fixed mortgage","Settlement process and costs","Other","Other","Other","Wells Fargo & Company","HI","96826","Other","Other","Web",2013-09-03,"Closed with explanation","Yes","No",512636
"3514",2013-09-02,"Debt collection","Medical","Cont'd attempts collect debt not owed","Debt was paid","Other","Other","CCS Financial Services, Inc.","NV","89031","Other","Other","Web",2013-09-02,"Closed with non-monetary relief","Yes","No",512492
"3515",2013-09-02,"Credit reporting","Other","Incorrect information on credit report","Personal information","Other","Other","Equifax","CA","92780","Other","Other","Web",2013-09-02,"Closed with non-monetary relief","Yes","Yes",511839
"3516",2013-09-19,"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","KY","40409","Older American","Other","Web",2013-09-20,"Closed with non-monetary relief","Yes","No",534365
"3517",2013-09-09,"Student loan","Non-federal student loan","Problems when you are unable to pay","Problems when you are unable to pay","Other","Other","AES/PHEAA","PA","16505","Other","Other","Web",2013-09-10,"Closed with explanation","Yes","Yes",520358
"3518",2013-08-20,"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Nationstar Mortgage","MA","2723","Other","Other","Web",2013-08-20,"Closed with explanation","Yes","Yes",496581
"3519",2013-09-02,"Credit card","Other","Transaction issue","Other","Other","Other","JPMorgan Chase & Co.","MA","1604","Other","Other","Web",2013-09-02,"Closed with explanation","Yes","Yes",512644
"3520",2013-09-02,"Bank account or service","Checking account","Making/receiving payments, sending money","Other","Other","Other","JPMorgan Chase & Co.","MA","1604","Other","Other","Web",2013-09-05,"Closed with monetary relief","Yes","Yes",512645
