"","coupon_id","title","Description","Discount","MinimumSpendAmount","OfferApplicableOn","BrandsUnderOffer","Validfor","PaymentModeOffer","TermsAndConditions"
"1138","27-3-14823","Samsung Mobiles: Get Flat 18% Cashback","Paytm is Offering 18% Cashback On Samsung Mobile Phones by Using the above code, Paytm helps you to Compare price, buy best latest Samsung mobile handsets and Smartphones in India, Use the Coupon Code given at the Selected listing page.Get the Mobile with Cashback, use Code GET18 and Get 18% Cashback, use Code GET15 and get 15% cashback, (Max 1 order per user), use Code GET12 for selected Mobile Phones and get 12% Cashback, (Max 1 order / user)","Compare price buy best","","get Code GET18 and Get 18%","Compare price buy best","","Using the above code",""
"1139","27-3-14842","Get Rs 100 Cashback On DTH Recharges Of Rs 500","Paytm is Offering Rs 100 Cashback on DTH Recharges of Rs 500 and above, Use the above Code to get Rs 100 Cashback This code can be Used only Once per User, This is Valid through all Payment modes, This Paytm Code is Valid for New DTH Users, This is Valid on Web, So all New DTH users, Avail this Paytm Offers today and enjoy Rs 100 money back, Cashback will be Credited in 24 hours to Your Paytm Account, Do Paytm online recharge online","get Rs 100 Cashback","Rs. 100 Cashback on DTH Recharges","DTH Recharges of Rs 500 and above","get Rs 100 Cashback","","Use the above Code to get",""
"1140","27-3-14869","Pantaloons Fashion: Get Flat Extra 30% Cashback","Paytm is Launching Pantaloons Fashion, Get Flat Extra 30% Cashback on Pantaloons Clothing like Suits, Shirts, T-shirts, Jeans, Track Pants and so on, Use the Coupon Code given at the selected listing page, Get Your Favorite Brand now, Cashback from Paytm will be credited in your Paytm Account, use Code STYLE40 to get 40% cashback (Max.cash back Rs 5000, Max 3 order per user), use Code STYLE30 to get 30% cashback (Max.cash back Rs 5000), use Code use Code AW25 to get 25% Paytm Cash (Max.cash back Rs 5000), use Code STYLE20 for Selected Products to get 20% Paytm Cash (Max.cash back Rs 5000), Use the Coupon Code given at the Selected listing page, Buy Now","Flat Extra 30% Cashback on Pantaloons","Rs. 5000 Max 3 order per","Pantaloons Clothing like Suits Shirts T-shirts Jeans Track Pants and so on"," Suits Shirts T-shirts Jeans Track Pants and so on","","Use the Coupon Code given at",""
"1141","27-3-14872","Men Personal Care Combos: Get Extra 20% Cashback","Paytm is Offering Extra Upto 20% Cashback on Men's Personal Care Combos, Buy here for Grooming Kit Combos, Perfume Combos, Deodorant Combos, Skin Care combos and so on, Use LOOK25 to get 25% Cashback on Combo Deals, Get the Extra Cashback only through Paytm, Use the Coupon Code given for the Selected Products only to get Extra Cashback, use Code LOOK20 to get 20% cash back, use Code LOOK20 to get 20% cash back on total order value, (Max Cashback 1000 ), use Code LOOK10 to get 10% cash back on total order value, (Max cashback Rs 1000), Get the combo deals now","now","Rs. (Max cashback","Men's Personal Care Combos","20% Cashback on Men's","","Use LOOK25 to get 25% Cashback",""
"1142","27-3-14886","Sling Bags@ Get Extra 20% Cashback","Paytm is Offering Extra 20% Cashback on Sling bags by Using the above Code, Buy here for Branded Handbags Which Starts at Rs 149 Listed in the listing page like Japman,, Vogue, Cappuccino, Estoss, Utsukushii, Damit and so on, This Cash back acquired from the Coupon Codes to be credited to your wallet within 24 hours of your product being shipped, Buy Now and Bring the Stylish Bags, use Code BAG40 to get 40% cash back on total order value.(Max 6 order per user) use Code BAG30 to get 30% cash back on total order value.(Max 5 order per user), use Code MPBAG35 to get 35% cash back on total order value.(Max 5 order per user), use Code BAG20 to get extra 20% cachback on total order value.(Max 10 order per user), Paytm would gladly accept returns for 15 days from delivery date","Now and Bring the Stylish Bags","Rs. 149 Listed in the listing","Sling bags by Using the above Code"," Japman Vogue Cappuccino Estoss Utsukushii Damit and so on","","Using the above Code","and Bring the Stylish"
"1143","27-3-14928","Shorts & 3/4ths: Get Upto 50% + Extra 20% Cashback","Paytm is Offering Extra 20% Cashback on Men's Shorts and 3/4ths, Buy here for Branded Shorts and 3/4ths like Pantaloons, Allen solly, American Swan, Wajbee, Peter England, Yepme and so on, Paytm Cashback will be credited in 24 Hours to Your Paytm Account, Max Cashback is Rs 5000, Use the Coupon Code given at the selected listing page, Buy Now to get the Deal, Shopping online with Cashback is Special so Get Cashback from Paytm and Enjoy the Benefits, Hurry up, use Code WEEK40 to get 40% Paytm Cash (Max.cash back Rs 5000), use Code STYLE20 to get 20% Paytm Cash (Max.cash back Rs 5000)","Now to get the Deal","Rs. Max Cashback is","Men's Shorts and 3/4ths"," Pantaloons Allen solly American Swan Wajbee Peter England Yepme and so on","","Use the Coupon Code given at","to get the Deal"
"1144","27-3-14952","Electric Cookers and Fryers: Get Extra 10% Cashback","Paytm is Offering Extra 10% cashback on Electric Cookers by Using the above given code for selected products, Buy here for Butterfly, Panasonic, Prestige, Philips and so on, Cash back acquired from the above code to be credited within 24 hours of your product being shipped.(Max 3 orders per User), Online Shopping with Cashback only through Patym.Get More benefits by shopping Now, use Code PROMO10, get 10% cashback, Max Cashback Rs 4000, Max 2 items per order, 2 orders per user, Use Coupon Code PROMO20, get 20% cashback, Max Cashback Rs 4000, Max 2 items per order, 2 orders per user, Use MPLIVE20 to get Flat 20% Cashback total order value (Max, Cashback Rs 3000 per order), use Code PROMO40, get 40% cashback, Max Cashback Rs 4000, Max 2 items per oder, 2 orders per user ","Flat 20% Cashback total order value","Rs. Cash back acquired from the","Electric Cookers by Using the above given code for selected products","be credited within 24","","Using the above given",""
"1145","27-3-14969","Routers: Get Flat Extra 15% Cashback","Paytm is Offering Extra Flat 15% Cashback on Routers.Enjoy seamless network connectivity Buy here for Best Routers like Netgear, D-link, Tenda, Asus and so on and get extra 15% Cashback by Using the above code.Get Routers to use Wifi in Home and For Office, Maximum 2 Orders per User is Valid, This Cash back acquired from the given codes will be credited within 24 hours of your product being shipped, Max Cashback is Rs 600, Hurry Up, This is Valid till Stock Lasts, Get the extra Cashback through Paytm, Cashback will be credited in Paytm Account Within 24 hours of Transactions, use Code NET15 and get 15% cashback, Max 2 Items per order, 2 orders per user, Max Cashback Rs 600, use Code CACC10 and get 10% cashback, Max 2 items per order, 2 order per user, Max Cashback Rs 1000","Flat 15% Cashback on Routers.Enjoy seamless","Rs. Maximum 2 Orders per User","Routers.Enjoy seamless network connectivity Buy here for Best Routers like Netgear D-link Tenda Asus and so"," Netgear D-link Tenda Asus and so on and get extra 15% Cashback by Using the above code.Get Routers to use Wifi in Home and For Office","","Using the above code.Get",""
"1146","27-3-15038","Value Store: Get Upto 50% OFF + Upto Extra 30% Cashback","Paytm is Offering Value Store as get Extra 30% Cashback, Buy Here for Toys & Games, Baby Care & Maternity, Car Exterior Accessories, Bike Accessories, Entrance Exam and Kids & Teens, use Code SNE25 to get 25% Paytm Cash on Toys and Games, Use the Coupon Code given for the Baby Care and Maternity Products, Use EXTERIOR30 code to get 30% Cashback for Car Exterior Accessories, Use BEDDING90 for kids bedding, Use EXAM30 Code for Entrance Exam and Use READ30 for Kids & teens, Abhi Paytm Karo and Get Cashback, use Code EXTERIOR30 to get 30% Paytm Cash on Total order value (Max.cash back Rs 1000/-, Max 5 order per user), Get this Exiting Deals Now and the Cashback","Now and the Cashback","Rs. 1000/- Max 5 order per","Toys and Games","as get Extra 30%","","Care & Maternity Car","and the Cashback"
"1147","27-3-15068","Boys & Girls: Apparels: Upto 30% Cashback","Paytm is Offering Extra Flat 30% Cashback on Boys and Girls Apparels Which are Trending Now, Buy Here for Boys T-Shirts, Girls Frocks and Dresses, Girls Tops & Bottom Sets, Boys- Jeans-Trousers, Infants Clothing, Girls Ethnic Wear, Use STYLE30 to get 30% Cashback on Infants Clothing, Boys T-Shirts, Girls Tops and Bottom Sets, Boys Jeans and Trousers, Pretty Frocks and Dresses, Girls Ethnic Wear, Get Your favorite Style Products for kids, Buy Now, Cashback will be Credited within 24 Hours of the Transaction Complete, to your registered account","Flat 30% Cashback on Boys and","","Boys and Girls Apparels Which are Trending Now","Sets Boys- Jeans-Trousers Infants","","Use",""
